date,title,url
31-Jan-25,Limiting Lame-Duck Collective Bargaining Agreements That Improperly Attempt to Constrain the New President,https://www.whitehouse.gov/presidential-actions/2025/01/limiting-lame-duck-collective-bargaining-agreements-that-improperly-attempt-to-constrain-the-new-president/
31-Jan-25,Unleashing Prosperity Through Deregulation,https://www.whitehouse.gov/presidential-actions/2025/01/unleashing-prosperity-through-deregulation/
30-Jan-25,Immediate Assessment of Aviation Safety,https://www.whitehouse.gov/presidential-actions/2025/01/immediate-assessment-of-aviation-safety/
29-Jan-25,Additional Measures to Combat Anti-Semitism,https://www.whitehouse.gov/presidential-actions/2025/01/additional-measures-to-combat-anti-semitism/
29-Jan-25,President Donald J. Trump Signed S.5 into Law,https://www.whitehouse.gov/presidential-actions/2025/01/president-donald-j-trump-signed-s-5-into-law/
29-Jan-25,Expanding Migrant Operations Center at Naval Station Guantanamo Bay to Full Capacity,https://www.whitehouse.gov/presidential-actions/2025/01/expanding-migrant-operations-center-at-naval-station-guantanamo-bay-to-full-capacity/
29-Jan-25,Celebrating America's 250th Birthday,https://www.whitehouse.gov/presidential-actions/2025/01/celebrating-americas-250th-birthday/
29-Jan-25,Ending Radical Indoctrination in K-12 Schooling,https://www.whitehouse.gov/presidential-actions/2025/01/ending-radical-indoctrination-in-k-12-schooling/
29-Jan-25,Expanding Educational Freedom and Opportunity for Families,https://www.whitehouse.gov/presidential-actions/2025/01/expanding-educational-freedom-and-opportunity-for-families/
28-Jan-25,Protecting Children from Chemical and Surgical Mutilation,https://www.whitehouse.gov/presidential-actions/2025/01/protecting-children-from-chemical-and-surgical-mutilation/
27-Jan-25,Reinstating Service Members Discharged Under the Military's COVID-19 Vaccination Mandate,https://www.whitehouse.gov/presidential-actions/2025/01/reinstating-service-members-discharged-under-the-militarys-covid-19-vaccination-mandate/
27-Jan-25,Restoring America's Fighting Force,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-americas-fighting-force/
27-Jan-25,Prioritizing Military Excellence and Readiness,https://www.whitehouse.gov/presidential-actions/2025/01/prioritizing-military-excellence-and-readiness/
27-Jan-25,The Iron Dome for America,https://www.whitehouse.gov/presidential-actions/2025/01/the-iron-dome-for-america/
27-Jan-25,"The National Day of Remembrance of the 80th Anniversary of the Liberation of Auschwitz, 2025",https://www.whitehouse.gov/presidential-actions/2025/01/the-national-day-of-remembrance-of-the-80th-anniversary-of-the-liberation-of-auschwitz-2025/
24-Jan-25,"Memorandum for the Secretary of State, the Secretary of Defense, the Secretary of Health and Human Services, the Administrator of the United States for International Development",https://www.whitehouse.gov/presidential-actions/2025/01/memorandum-for-the-secretary-of-state-the-secretary-of-defense-the-secretary-of-health-and-human-services-the-administrator-of-the-united-states-for-international-development/
24-Jan-25,Enforcing the Hyde Amendment,https://www.whitehouse.gov/presidential-actions/2025/01/enforcing-the-hyde-amendment/
24-Jan-25,Emergency Measures to Provide Water Resources in California and Improve Disaster Response in Certain Areas,https://www.whitehouse.gov/presidential-actions/2025/01/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain-areas/
24-Jan-25,Council to Assess the Federal Emergency Management Agency,https://www.whitehouse.gov/presidential-actions/2025/01/council-to-assess-the-federal-emergency-management-agency/
24-Jan-25,The First 100 Hours: Historic Action to Kick off America's Golden Age,https://www.whitehouse.gov/presidential-actions/2025/01/the-first-100-hours-historic-action-to-kick-off-americas-golden-age/
23-Jan-25,Removing Barriers to American Leadership in Artificial Intelligence,https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/
23-Jan-25,President's Council of Advisors on Science and Technology,https://www.whitehouse.gov/presidential-actions/2025/01/presidents-council-of-advisors-on-science-and-technology/
23-Jan-25,Declassification of Records Concerning the Assassinations of President John F. Kennedy,https://www.whitehouse.gov/presidential-actions/2025/01/declassification-of-records-concerning-the-assassinations-of-president-john-f-kennedy/
23-Jan-25,Strengthening American Leadership in Digital Financial Technology,https://www.whitehouse.gov/presidential-actions/2025/01/strengthening-american-leadership-in-digital-financial-technology/
23-Jan-25,Federal Recognition of the Lumbee Tribe of North Carolina,https://www.whitehouse.gov/presidential-actions/2025/01/federal-recognition-of-the-lumbee-tribe-of-north-carolina/
22-Jan-25,Executive Grant of Clemency for Terence Sutton,https://www.whitehouse.gov/presidential-actions/2025/01/executive-grant-of-clemency-for-terence-sutton/
22-Jan-25,Designation Of Ansar Allah as a Foreign Terrorist Organization,https://www.whitehouse.gov/presidential-actions/2025/01/designation-of-ansar-allah-as-a-foreign-terrorist-organization/
22-Jan-25,Executive Grant of Clemency for Andrew Zabavsky,https://www.whitehouse.gov/presidential-actions/2025/01/executive-grant-of-clemency-for-andrew-zabavsky/
22-Jan-25,Nominations Transmitted to the Senate,https://www.whitehouse.gov/presidential-actions/2025/01/nominations-transmitted-to-the-senate/
21-Jan-25,Ending Illegal Discrimination And Restoring Merit-Based Opportunity,https://www.whitehouse.gov/presidential-actions/2025/01/ending-illegal-discrimination-and-restoring-merit-based-opportunity/
21-Jan-25,Keeping Americans Safe in Aviation,https://www.whitehouse.gov/presidential-actions/2025/01/keeping-americans-safe-in-aviation/
20-Jan-25,Guaranteeing The States Protection Against Invasion,https://www.whitehouse.gov/presidential-actions/2025/01/guaranteeing-the-states-protection-against-invasion/
20-Jan-25,Restoring Names That Honor American Greatness,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-names-that-honor-american-greatness/
20-Jan-25,Designating Cartels And Other Organizations As Foreign Terrorist Organizations And Specially Designated Global Terrorists,https://www.whitehouse.gov/presidential-actions/2025/01/designating-cartels-and-other-organizations-as-foreign-terrorist-organizations-and-specially-designated-global-terrorists/
20-Jan-25,Reforming The Federal Hiring Process And Restoring Merit To Government Service,https://www.whitehouse.gov/presidential-actions/2025/01/reforming-the-federal-hiring-process-and-restoring-merit-to-government-service/
20-Jan-25,Ending Radical And Wasteful Government DEI Programs And Preferencing,https://www.whitehouse.gov/presidential-actions/2025/01/ending-radical-and-wasteful-government-dei-programs-and-preferencing/
20-Jan-25,Defending Women From Gender Ideology Extremism And Restoring Biological Truth To The Federal Government,https://www.whitehouse.gov/presidential-actions/2025/01/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal-government/
20-Jan-25,"Establishing And Implementing The President's ""Department Of Government Efficiency""",https://www.whitehouse.gov/presidential-actions/2025/01/establishing-and-implementing-the-presidents-department-of-government-efficiency/
20-Jan-25,America First Policy Directive To The Secretary Of State,https://www.whitehouse.gov/presidential-actions/2025/01/america-first-policy-directive-to-the-secretary-of-state/
20-Jan-25,Protecting The United States From Foreign Terrorists And Other National Security And Public Safety Threats,https://www.whitehouse.gov/presidential-actions/2025/01/protecting-the-united-states-from-foreign-terrorists-and-othernational-security-and-public-safety-threats/
20-Jan-25,Unleashing Alaska's Extraordinary Resource Potential,https://www.whitehouse.gov/presidential-actions/2025/01/unleashing-alaskas-extraordinary-resource-potential/
20-Jan-25,Protecting The American People Against Invasion,https://www.whitehouse.gov/presidential-actions/2025/01/protecting-the-american-people-against-invasion/
20-Jan-25,The Organization for Economic Co-operation and Development (OECD) Global Tax Deal (Global Tax Deal),https://www.whitehouse.gov/presidential-actions/2025/01/the-organization-for-economic-co-operation-and-development-oecd-global-tax-deal-global-tax-deal/
20-Jan-25,Organization of the National Security Council and Subcommittees,https://www.whitehouse.gov/presidential-actions/2025/01/organization-of-the-national-security-council-and-subcommittees/
20-Jan-25,Reevaluating And Realigning United States Foreign Aid,https://www.whitehouse.gov/presidential-actions/2025/01/reevaluating-and-realigning-united-states-foreign-aid/
20-Jan-25,Temporary Withdrawal of All Areas on the Outer Continental Shelf from Offshore Wind Leasing and Review of the Federal Government's Leasing and Permitting Practices for Wind Projects,https://www.whitehouse.gov/presidential-actions/2025/01/temporary-withdrawal-of-all-areas-on-the-outer-continental-shelf-from-offshore-wind-leasing-and-review-of-the-federal-governments-leasing-and-permitting-practices-for-wind-projects/
20-Jan-25,Declaring a National Energy Emergency,https://www.whitehouse.gov/presidential-actions/2025/01/declaring-a-national-energy-emergency/
20-Jan-25,Restoring Accountability for Career Senior Executives,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-accountability-for-career-senior-executives/
20-Jan-25,Promoting Beautiful Federal Civic Architecture,https://www.whitehouse.gov/presidential-actions/2025/01/promoting-beautiful-federal-civic-architecture/
20-Jan-25,Restoring The Death Penalty And Protecting Public Safety,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-the-death-penalty-and-protecting-public-safety/
20-Jan-25,Putting People Over Fish: Stopping Radical Environmentalism to Provide Water to Southern California,https://www.whitehouse.gov/presidential-actions/2025/01/putting-people-over-fish-stopping-radical-environmentalism-to-provide-water-to-southern-california/
20-Jan-25,Securing Our Borders,https://www.whitehouse.gov/presidential-actions/2025/01/securing-our-borders/
20-Jan-25,Protecting The Meaning And Value Of American Citizenship,https://www.whitehouse.gov/presidential-actions/2025/01/protecting-the-meaning-and-value-of-american-citizenship/
20-Jan-25,Realigning the United States Refugee Admissions Program,https://www.whitehouse.gov/presidential-actions/2025/01/realigning-the-united-states-refugee-admissions-program/
20-Jan-25,Unleashing American Energy,https://www.whitehouse.gov/presidential-actions/2025/01/unleashing-american-energy/
20-Jan-25,Clarifying The Military's Role In Protecting The Territorial Integrity Of The United States,https://www.whitehouse.gov/presidential-actions/2025/01/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states/
20-Jan-25,America First Trade Policy,https://www.whitehouse.gov/presidential-actions/2025/01/america-first-trade-policy/
20-Jan-25,Memorandum to Resolve the Backlog of Security Clearances for Executive Office of the President Personnel,https://www.whitehouse.gov/presidential-actions/2025/01/memorandum-to-resolve-the-backlog-of-security-clearances-for-executive-office-of-the-president-personnel/
20-Jan-25,Declaring A National Emergency At The Southern Border Of The United States,https://www.whitehouse.gov/presidential-actions/2025/01/declaring-a-national-emergency-at-the-southern-border-of-the-united-states/
20-Jan-25,Holding Former Government Officials Accountable For Election Interference And Improper Disclosure Of Sensitive Governmental Information,https://www.whitehouse.gov/presidential-actions/2025/01/holding-former-government-officials-accountablefor-election-interference-and-improper-disclosure-of-sensitive-governmental-information/
20-Jan-25,Restoring Accountability To Policy-Influencing Positions Within the Federal Workforce,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-accountability-to-policy-influencing-positions-within-the-federal-workforce/
20-Jan-25,Withdrawing The United States From The World Health Organization,https://www.whitehouse.gov/presidential-actions/2025/01/withdrawing-the-united-states-from-the-worldhealth-organization/
20-Jan-25,Application Of Protecting Americans From Foreign Adversary Controlled Applications Act To TikTok,https://www.whitehouse.gov/presidential-actions/2025/01/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok/
20-Jan-25,"Granting Pardons And Commutation Of Sentences For Certain Offenses Relating To The Events At Or Near The United States Capitol On January 6, 2021",https://www.whitehouse.gov/presidential-actions/2025/01/granting-pardons-and-commutation-of-sentences-for-certain-offenses-relating-to-the-events-at-or-near-the-united-states-capitol-on-january-6-2021/
20-Jan-25,Putting America First In International Environmental Agreements,https://www.whitehouse.gov/presidential-actions/2025/01/putting-america-first-in-international-environmental-agreements/
20-Jan-25,Delivering Emergency Price Relief for American Families and Defeating the Cost-of-Living Crisis,https://www.whitehouse.gov/presidential-actions/2025/01/delivering-emergency-price-relief-for-american-families-and-defeating-the-cost-of-living-crisis/
20-Jan-25,Hiring Freeze,https://www.whitehouse.gov/presidential-actions/2025/01/hiring-freeze/
20-Jan-25,Regulatory Freeze Pending Review,https://www.whitehouse.gov/presidential-actions/2025/01/regulatory-freeze-pending-review/
20-Jan-25,Return to In-Person Work,https://www.whitehouse.gov/presidential-actions/2025/01/return-to-in-person-work/
20-Jan-25,Ending The Weaponization Of The Federal Government,https://www.whitehouse.gov/presidential-actions/2025/01/ending-the-weaponization-of-the-federal-government/
20-Jan-25,Restoring Freedom Of Speech And Ending Federal Censorship,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-freedom-of-speech-and-ending-federal-censorship/
20-Jan-25,Initial Rescissions Of Harmful Executive Orders And Actions,https://www.whitehouse.gov/presidential-actions/2025/01/initial-rescissions-of-harmful-executive-orders-and-actions/
20-Jan-25,Flying The Flag Of The United States At Full-Staff On Inauguration Day,https://www.whitehouse.gov/presidential-actions/2025/01/flying-the-flag-of-the-united-states-at-full-staff-on-inauguration-day/
20-Jan-25,President Trump Designates Chairmen and Acting Chairmen,https://www.whitehouse.gov/presidential-actions/2025/01/designation-of-chairmen-and-acting-chairmen/
20-Jan-25,President Trump Announces Acting Cabinet and Cabinet-Level Positions,https://www.whitehouse.gov/presidential-actions/2025/01/designation-of-acting-leaders/
20-Jan-25,President Trump Announces Sub-Cabinet Appointments,https://www.whitehouse.gov/presidential-actions/2025/01/sub-cabinet-appointments/
20-Jan-25,President Trump Announces Cabinet and Cabinet Level Appointments,https://www.whitehouse.gov/presidential-actions/2025/01/cabinet-and-cabinet-level-appointments/
